"SampleID","cluster"
"20642","Lactobacillus_crispatus_cluster"
"20646","Lactobacillus_iners"
"20669","Lactobacillus_iners"
"20687","Lactobacillus_iners"
"20699","Lactobacillus_iners"
"20720","Lactobacillus_iners"
"20748","Lactobacillus_iners"
"20770","Lactobacillus_iners"
"20824","Lactobacillus_iners"
"20864","Lactobacillus_iners"
"20867","Lactobacillus_iners"
"20868","Lactobacillus_crispatus_cluster"
"20930","Lactobacillus_iners"
"20944","Lactobacillus_iners"
"20977","Gardnerella_vaginalis"
"21029","Lactobacillus_iners"
"21041","Lactobacillus_iners"
"21046","Lactobacillus_iners"
"21064","Lactobacillus_iners"
"21071","Lactobacillus_iners"
"21131","Lactobacillus_iners"
"21205","Lactobacillus_gasseri_cluster"
"21226","Gardnerella_vaginalis"
"21247","Lactobacillus_iners"
"21273","Gardnerella_vaginalis"
"21379","Lactobacillus_gasseri_cluster"
"21386","Lactobacillus_crispatus_cluster"
"21412","notype"
"21456","Lactobacillus_iners"
"21514","Lactobacillus_iners"
"21599","Lactobacillus_crispatus_cluster"
"21603","Lactobacillus_iners"
"21667","Lactobacillus_iners"
"21674","Lactobacillus_jensenii/fornicalis/psittaci"
"21698","Lactobacillus_iners"
"21704","Lactobacillus_iners"
"21750","Lactobacillus_iners"
"21797","Lactobacillus_crispatus_cluster"
"21805","Lachnospiraceae_BVAB1"
"21866","Lactobacillus_iners"
"21873","notype"
"21875","Lactobacillus_iners"
"21876","Lactobacillus_crispatus_cluster"
"21906","Lactobacillus_gasseri_cluster"
"21911","Lactobacillus_crispatus_cluster"
"21914","Lactobacillus_iners"
"21950","Lachnospiraceae_BVAB1"
"21953","Lactobacillus_iners"
"22027","Prevotella_amnii"
"22074","Alloscardovia_omnicolens"
"22101","Lactobacillus_iners"
"22102","Lactobacillus_iners"
"22110","Lactobacillus_iners"
"22218","Lactobacillus_iners"
"22227","Lactobacillus_gasseri_cluster"
"22234","Lactobacillus_iners"
"22350","Lactobacillus_crispatus_cluster"
"22352","Lactobacillus_jensenii/fornicalis/psittaci"
"22353","Lactobacillus_iners"
"22361","Lactobacillus_iners"
"22365","Lactobacillus_iners"
"22382","Lachnospiraceae_BVAB1"
"22383","Lactobacillus_crispatus_cluster"
"22416","Lactobacillus_iners"
"22448","Lactobacillus_iners"
"22460","Megasphaera_OTU70_type1"
"22488","Lactobacillus_iners"
"22491","Lactobacillus_iners"
"22499","Lactobacillus_iners"
"22516","Lactobacillus_jensenii/fornicalis/psittaci"
"22528","Lactobacillus_crispatus_cluster"
"22530","Lactobacillus_crispatus_cluster"
"22547","Lactobacillus_crispatus_cluster"
"22558","Lactobacillus_iners"
"22564","Lactobacillus_iners"
"22568","Gardnerella_vaginalis"
"22572","Prevotella_amnii"
"22576","Megasphaera_OTU71_type2"
"22603","notype"
"22619","Lactobacillus_iners"
"22632","Lactobacillus_iners"
"22640","Lactobacillus_iners"
"22641","Lactobacillus_crispatus_cluster"
"22669","Lactobacillus_crispatus_cluster"
"22677","Lachnospiraceae_BVAB1"
"22699","Lactobacillus_crispatus_cluster"
"22702","Lactobacillus_jensenii/fornicalis/psittaci"
"22723","Gardnerella_vaginalis"
"22763","Lactobacillus_iners"
"22772","Gardnerella_vaginalis"
"22783","Lactobacillus_iners"
"22799","Lactobacillus_iners"
"22800","Lactobacillus_iners"
"22808","Lactobacillus_iners"
"22845","Lactobacillus_iners"
"22856","Lactobacillus_crispatus_cluster"
"22857","Lactobacillus_iners"
"22865","Lactobacillus_iners"
"22869","Lactobacillus_iners"
"22918","Lactobacillus_iners"
"22968","Lachnospiraceae_BVAB1"
"22977","Lactobacillus_crispatus_cluster"
"22994","Lactobacillus_iners"
"23015","notype"
"23041","Lactobacillus_jensenii/fornicalis/psittaci"
"23049","Lactobacillus_iners"
"23056","Lactobacillus_iners"
"23063","Gardnerella_vaginalis"
"23081","Lactobacillus_gasseri_cluster"
"23087","Lactobacillus_iners"
"23113","Lactobacillus_iners"
"23125","Lactobacillus_crispatus_cluster"
"23133","Lactobacillus_iners"
"23141","Lactobacillus_iners"
"23144","Lactobacillus_iners"
"23150","Lachnospiraceae_BVAB1"
"23156","Lactobacillus_iners"
"23171","Lactobacillus_iners"
"23180","Lactobacillus_iners"
"23197","Lactobacillus_crispatus_cluster"
"23248","Lactobacillus_iners"
"23276","Lachnospiraceae_BVAB1"
"23304","Lactobacillus_iners"
"23348","Prevotella_cluster2"
"23358","Lactobacillus_iners"
"23368","Gardnerella_vaginalis"
"23384","Lactobacillus_gasseri_cluster"
"23400","Lactobacillus_crispatus_cluster"
"23404","Lactobacillus_iners"
"23408","Lactobacillus_jensenii/fornicalis/psittaci"
"23417","Lactobacillus_iners"
"23428","Lactobacillus_jensenii/fornicalis/psittaci"
"23472","Lactobacillus_crispatus_cluster"
"23480","Lactobacillus_iners"
"23482","Lactobacillus_iners"
"23488","Lactobacillus_iners"
"23491","Lactobacillus_iners"
"23494","Gardnerella_vaginalis"
"23496","Gardnerella_vaginalis"
"23523","Lactobacillus_iners"
"23527","Lactobacillus_iners"
"23529","Lactobacillus_iners"
"23548","Lactobacillus_iners"
"23553","Lactobacillus_crispatus_cluster"
"23557","Lactobacillus_crispatus_cluster"
"23558","Lactobacillus_iners"
"23580","Lactobacillus_iners"
"23584","Lachnospiraceae_BVAB1"
"23600","Lactobacillus_crispatus_cluster"
"23604","Lachnospiraceae_BVAB1"
"23641","Mycoplasma_hominis"
"23649","Lactobacillus_crispatus_cluster"
"23657","Lactobacillus_iners"
"23693","Lactobacillus_iners"
"23704","Lactobacillus_iners"
"23718","Lactobacillus_iners"
"23727","Lactobacillus_iners"
"23728","Lactobacillus_iners"
"23733","Lactobacillus_iners"
"23756","Lactobacillus_iners"
"23760","Lactobacillus_jensenii/fornicalis/psittaci"
"23764","Lactobacillus_iners"
"23766","Lactobacillus_crispatus_cluster"
"23804","Lactobacillus_iners"
"23811","Lactobacillus_crispatus_cluster"
"23817","Lactobacillus_crispatus_cluster"
"23818","Lactobacillus_iners"
"23836","Lactobacillus_crispatus_cluster"
"23847","Lactobacillus_crispatus_cluster"
"23852","Lactobacillus_iners"
"23854","notype"
"23870","Lactobacillus_iners"
"23879","Gardnerella_vaginalis"
"23886","Lactobacillus_iners"
"23913","Lactobacillus_iners"
"23935","Lactobacillus_crispatus_cluster"
"23949","Lactobacillus_iners"
"23958","Lactobacillus_iners"
"23974","Gardnerella_vaginalis"
"24027","Lachnospiraceae_BVAB1"
"24051","Lactobacillus_iners"
"24053","Lactobacillus_iners"
"24070","Lactobacillus_iners"
"24076","Lactobacillus_jensenii/fornicalis/psittaci"
"24096","Lachnospiraceae_BVAB1"
"24098","Lactobacillus_gasseri_cluster"
"24116","Lactobacillus_iners"
"24132","Lactobacillus_iners"
"24142","Lactobacillus_crispatus_cluster"
"24162","Lactobacillus_iners"
"24187","Lactobacillus_iners"
"24207","Lachnospiraceae_BVAB1"
"24210","Lactobacillus_crispatus_cluster"
"24225","Lactobacillus_iners"
"24231","Lactobacillus_iners"
"24249","Lachnospiraceae_BVAB1"
"24251","Lactobacillus_crispatus_cluster"
"24260","Megasphaera_OTU70_type1"
"24268","Lactobacillus_iners"
"24271","Lactobacillus_iners"
"24273","Lactobacillus_iners"
"24290","Lactobacillus_gasseri_cluster"
"24310","Lactobacillus_crispatus_cluster"
"24316","Lactobacillus_crispatus_cluster"
"24317","Lactobacillus_iners"
"24323","Lactobacillus_iners"
"24336","Lactobacillus_iners"
"24361","Lactobacillus_iners"
"24375","Lactobacillus_gasseri_cluster"
"24378","Lactobacillus_crispatus_cluster"
"24380","Lactobacillus_crispatus_cluster"
"24399","Lactobacillus_iners"
"24400","Atopobium_vaginae"
